Replay #,Replay Link
0319,https://replay.pokemonshowdown.com/smogtours-gen3ou-794600
0320,https://replay.pokemonshowdown.com/smogtours-gen3ou-794604
0321,https://replay.pokemonshowdown.com/smogtours-gen3ou-794617
0322,https://replay.pokemonshowdown.com/smogtours-gen3ou-794622
0323,https://replay.pokemonshowdown.com/smogtours-gen3ou-794630
0324,https://replay.pokemonshowdown.com/smogtours-gen3ou-794244
0325,https://replay.pokemonshowdown.com/smogtours-gen3ou-794247
0326,https://replay.pokemonshowdown.com/smogtours-gen3ou-794315
0327,https://replay.pokemonshowdown.com/smogtours-gen3ou-794332
0328,https://replay.pokemonshowdown.com/smogtours-gen3ou-794339
0329,https://replay.pokemonshowdown.com/smogtours-gen3ou-794347
0330,https://replay.pokemonshowdown.com/smogtours-gen3ou-794498
0331,https://replay.pokemonshowdown.com/smogtours-gen3ou-794501
0332,https://replay.pokemonshowdown.com/smogtours-gen3ou-794286?p2
0333,https://replay.pokemonshowdown.com/smogtours-gen3ou-794292
0334,https://replay.pokemonshowdown.com/smogtours-gen3ou-794520?p2
0335,https://replay.pokemonshowdown.com/smogtours-gen3ou-794521
0336,https://replay.pokemonshowdown.com/smogtours-gen3ou-794628
0337,https://replay.pokemonshowdown.com/smogtours-gen3ou-794635?p2
0338,https://replay.pokemonshowdown.com/smogtours-gen3ou-794639
0339,https://replay.pokemonshowdown.com/smogtours-gen3ou-794271
0340,https://replay.pokemonshowdown.com/smogtours-gen3ou-794277
0341,https://replay.pokemonshowdown.com/gen3ou-2215133870-5oykw6sscnabj3hluf67kgcrwletihbpw
0342,https://replay.pokemonshowdown.com/gen3ou-2215138127-4fapx1232uawg55uhknxp4598jakvcbpw
0343,https://replay.pokemonshowdown.com/gen3ou-2215302968-9sgnlm5g1tz7l6cdcv5ebs3f1um71o0pw
0344,https://replay.pokemonshowdown.com/gen3ou-2215295236-efk0tn8opgqoqr13vig89fbhiahgqz1pw?p2
0345,https://replay.pokemonshowdown.com/gen3ou-2215307132-af010zixt01adfyr7kqnq7n6yiifipapw?p2
0346,https://replay.pokemonshowdown.com/smogtours-gen3ou-794640
0347,https://replay.pokemonshowdown.com/smogtours-gen3ou-794646
0348,https://replay.pokemonshowdown.com/smogtours-gen3ou-794649
0349,https://replay.pokemonshowdown.com/smogtours-gen3ou-794744
0350,https://replay.pokemonshowdown.com/smogtours-gen3ou-794750
0351,https://replay.pokemonshowdown.com/gen3ou-2216138728-or0s93qliccsnwa1a8tgha54p26iddhpw
0352,https://replay.pokemonshowdown.com/gen3ou-2216145981-eb3kp5bkph1jqam5f6fr6ivb1yi7tdwpw
0353,https://replay.pokemonshowdown.com/gen3ou-2216151657-yzpdzqyzwh77vjiu6iox36dyn129xg5pw
0354,https://replay.pokemonshowdown.com/smogtours-gen3ou-794483
0355,https://replay.pokemonshowdown.com/smogtours-gen3ou-794485
0356,https://replay.pokemonshowdown.com/smogtours-gen3ou-794659
0357,https://replay.pokemonshowdown.com/smogtours-gen3ou-794664
0358,https://replay.pokemonshowdown.com/smogtours-gen3ou-794671
0359,https://replay.pokemonshowdown.com/smogtours-gen3ou-794688
0360,https://replay.pokemonshowdown.com/smogtours-gen3ou-794692
0361,https://replay.pokemonshowdown.com/smogtours-gen3ou-794698
0362,https://replay.pokemonshowdown.com/smogtours-gen3ou-794306
0363,https://replay.pokemonshowdown.com/smogtours-gen3ou-794313
0364,https://replay.pokemonshowdown.com/smogtours-gen3ou-794167
0365,https://replay.pokemonshowdown.com/smogtours-gen3ou-794168
0366,https://replay.pokemonshowdown.com/smogtours-gen3ou-794169?p2
0367,https://replay.pokemonshowdown.com/smogtours-gen3ou-794757
0368,https://replay.pokemonshowdown.com/smogtours-gen3ou-794760
0369,https://replay.pokemonshowdown.com/smogtours-gen3ou-794763
0370,https://replay.pokemonshowdown.com/gen3ou-2215451430-jtfgmk1ew1d09g59x3mn3qj8geoua3kpw
0371,https://replay.pokemonshowdown.com/smogtours-gen3ou-794463
0372,https://replay.pokemonshowdown.com/smogtours-gen3ou-793842
0373,https://replay.pokemonshowdown.com/smogtours-gen3ou-793848
0374,https://replay.pokemonshowdown.com/smogtours-gen3ou-793849
0375,https://replay.pokemonshowdown.com/smogtours-gen3ou-794502
0376,https://replay.pokemonshowdown.com/smogtours-gen3ou-794503?p2
0377,https://replay.pokemonshowdown.com/smogtours-gen3ou-794504?p2
0378,https://replay.pokemonshowdown.com/smogtours-gen3ou-794220?p2
0379,https://replay.pokemonshowdown.com/smogtours-gen3ou-794223
0380,https://replay.pokemonshowdown.com/smogtours-gen3ou-794806
0381,https://replay.pokemonshowdown.com/smogtours-gen3ou-794814
0382,https://replay.pokemonshowdown.com/smogtours-gen3ou-794800
0383,https://replay.pokemonshowdown.com/smogtours-gen3ou-794807?p2
0384,https://replay.pokemonshowdown.com/smogtours-gen3ou-794811
0385,https://replay.pokemonshowdown.com/smogtours-gen3ou-794345
0386,https://replay.pokemonshowdown.com/smogtours-gen3ou-794353
0387,https://replay.pokemonshowdown.com/smogtours-gen3ou-794366
0388,https://replay.pokemonshowdown.com/smogtours-gen3ou-794539
0389,https://replay.pokemonshowdown.com/smogtours-gen3ou-794545
0390,https://replay.pokemonshowdown.com/smogtours-gen3ou-794547
0391,https://replay.pokemonshowdown.com/smogtours-gen3ou-793993
0392,https://replay.pokemonshowdown.com/smogtours-gen3ou-793996
0393,https://replay.pokemonshowdown.com/smogtours-gen3ou-794097
0394,https://replay.pokemonshowdown.com/smogtours-gen3ou-794103
0395,https://replay.pokemonshowdown.com/smogtours-gen3ou-794106
0396,https://replay.pokemonshowdown.com/smogtours-gen3ou-794471
0397,https://replay.pokemonshowdown.com/smogtours-gen3ou-794473
